Tamanho mensagem (bytes);Latencia 1 (s); Latencia 2 (s); Latencia 3 (s); Media (s)
1;0.000065;0.000063;0.000055;0.000061
10;0.000054;0.000056;0.000060;0.000057
100;0.000085;0.000087;0.000072;0.000081
200;0.000072;0.000066;0.000080;0.000072
300;0.000058;0.000063;0.000059;0.000060
400;0.000060;0.000076;0.000079;0.000072
500;0.000089;0.000069;0.000068;0.000076
600;0.000081;0.000054;0.000045;0.000060
700;0.000047;0.000043;0.000042;0.000044
800;0.000070;0.000085;0.000070;0.000075
900;0.000024;0.000062;0.000066;0.000051
1000;0.000053;0.000053;0.000051;0.000052
