Tamanho mensagem (bytes);Vazao 1 (M bits/s); Vazao 2 (M bits/s); Vazao 3 (M bits/s); Media (M bits/s)
1024;132.556634;140.273973;147.338129;140.056245
2048;266.406504;323.155819;326.374502;305.312275
3072;293.269690;449.287020;411.658291;384.738334
4096;565.941278;562.058319;585.142857;571.047485
5120;834.215886;758.518519;704.991394;765.908600
6144;869.946903;859.300699;866.878307;865.375303
7168;1061.925926;800.893855;653.865450;838.895077
8192;925.649718;771.011765;768.300117;821.653866
9216;1068.521739;1021.163435;1262.465753;1117.383642
10240;3515.879828;1465.474061;1462.857143;2148.070344
11264;1638.400000;1543.013699;1600.568384;1593.994027
12288;1683.287671;1834.029851;1333.839891;1617.052471
13312;1410.543046;1554.686131;1603.855422;1523.028200
14336;1780.869565;1701.602374;1883.218391;1788.563443
15360;2017.733990;1500.366300;2048.000000;1855.366764
16384;2248.233276;2090.462520;2035.279503;2124.658433
17408;1972.577904;1945.027933;1712.964330;1876.856722
18432;1822.694685;1738.867925;2272.049307;1944.537305
19456;2409.411765;2316.190476;2633.637902;2453.080048
20480;2646.849758;2762.900506;2532.302937;2647.351067
21504;2886.442953;3094.100719;2748.115016;2909.552896
22528;3075.494881;2902.157810;2549.137199;2842.263297
23552;3014.656000;3198.913413;2976.556082;3063.375165
24576;3383.958692;529.655172;2337.788347;2083.800737
25600;2248.079034;2701.846966;3683.453237;2877.793079
26624;3966.331471;3844.620939;3844.620939;3885.191116
27648;3146.287340;3224.256560;3445.233645;3271.925848
28672;3778.846787;2929.450830;3343.673469;3350.657029
29696;5589.835294;3615.951294;968.479413;3391.422000
30720;3635.502959;3763.552833;3250.793651;3549.949814
31744;3576.788732;2604.635897;4431.972077;3537.798902
32768;3996.097561;4347.330017;4428.108108;4257.178562
